,FirstName,LastName,CurrentEmploymentType,CurrentEmploymentTitle,Timestamp,id,lat,long,day,hour,minute,Weekend
0,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 06:57:00,10.0,36.074381515,24.865691390000002,6.0,6.0,57.0,False
4,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:01:00,10.0,36.07333841,24.86419877,6.0,7.0,1.0,False
37,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:34:00,10.0,36.07184902,24.86423903,6.0,7.0,34.0,False
38,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:35:00,10.0,36.071120345,24.866578205,6.0,7.0,35.0,False
39,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:36:00,10.0,36.07007055,24.86857716,6.0,7.0,36.0,False
40,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:37:00,10.0,36.06962411000001,24.87125307,6.0,7.0,37.0,False
41,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:38:00,10.0,36.06929652,24.87426881,6.0,7.0,38.0,False
42,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:39:00,10.0,36.068226755,24.876284435000002,6.0,7.0,39.0,False
43,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:40:00,10.0,36.06520386,24.87642023,6.0,7.0,40.0,False
44,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:41:00,10.0,36.06217595,24.87641458,6.0,7.0,41.0,False
45,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:42:00,10.0,36.05934575,24.87619008,6.0,7.0,42.0,False
46,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:43:00,10.0,36.056415915,24.876182225,6.0,7.0,43.0,False
47,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:44:00,10.0,36.05335567,24.87633046,6.0,7.0,44.0,False
48,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:45:00,10.0,36.05194062,24.87809798,6.0,7.0,45.0,False
49,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:46:00,10.0,36.05048103,24.87957894,6.0,7.0,46.0,False
50,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 07:47:00,10.0,36.048417225,24.87957102,6.0,7.0,47.0,False
295,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 11:52:00,10.0,36.04921313,24.880938434999997,6.0,11.0,52.0,False
296,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 11:53:00,10.0,36.05032702,24.88802103,6.0,11.0,53.0,False
297,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 11:54:00,10.0,36.05062546,24.89661981,6.0,11.0,54.0,False
298,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 11:55:00,10.0,36.05365645,24.899275269999997,6.0,11.0,55.0,False
299,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 11:56:00,10.0,36.05448744,24.89991204,6.0,11.0,56.0,False
363,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 13:00:00,10.0,36.05279863,24.898581175,6.0,13.0,0.0,False
364,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 13:01:00,10.0,36.050350415,24.892082600000002,6.0,13.0,1.0,False
365,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 13:02:00,10.0,36.05013052,24.88277195,6.0,13.0,2.0,False
366,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 13:03:00,10.0,36.04891289,24.87957538,6.0,13.0,3.0,False
677,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 18:14:00,10.0,36.05065853,24.87956782,6.0,18.0,14.0,False
678,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 18:15:00,10.0,36.0525906,24.876502675,6.0,18.0,15.0,False
679,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 18:16:00,10.0,36.05781727,24.8761965,6.0,18.0,16.0,False
680,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 18:17:00,10.0,36.06301646,24.87641431,6.0,18.0,17.0,False
681,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 18:18:00,10.0,36.06832644,24.87623818,6.0,18.0,18.0,False
682,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 18:19:00,10.0,36.06960301,24.871761065,6.0,18.0,19.0,False
683,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 18:20:00,10.0,36.07125117,24.8681788,6.0,18.0,20.0,False
684,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 18:21:00,10.0,36.074133945,24.86579064,6.0,18.0,21.0,False
772,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 19:49:00,10.0,36.07663397,24.86411482,6.0,19.0,49.0,False
773,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 19:50:00,10.0,36.07665114,24.859638519999997,6.0,19.0,50.0,False
777,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 19:54:00,10.0,36.07665466,24.85760764,6.0,19.0,54.0,False
900,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 21:57:00,10.0,36.076651075,24.860082775000002,6.0,21.0,57.0,False
901,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 21:58:00,10.0,36.07662614,24.864690945,6.0,21.0,58.0,False
914,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-06 22:11:00,10.0,36.07684354,24.86588553,6.0,22.0,11.0,False
1461,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:18:00,10.0,36.07538972,24.86577362,7.0,7.0,18.0,False
1462,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:19:00,10.0,36.07425037,24.86419524,7.0,7.0,19.0,False
1480,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:37:00,10.0,36.071892515,24.86424911,7.0,7.0,37.0,False
1481,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:38:00,10.0,36.07105016,24.866579305000002,7.0,7.0,38.0,False
1482,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:39:00,10.0,36.070116240000004,24.868573155,7.0,7.0,39.0,False
1483,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:40:00,10.0,36.06962287,24.8712384,7.0,7.0,40.0,False
1484,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:41:00,10.0,36.06930756,24.87419212,7.0,7.0,41.0,False
1485,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:42:00,10.0,36.06833328,24.87611841,7.0,7.0,42.0,False
1486,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:43:00,10.0,36.06540169,24.87641532,7.0,7.0,43.0,False
1487,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:44:00,10.0,36.06217793,24.87642099,7.0,7.0,44.0,False
1488,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:45:00,10.0,36.0593064,24.87620169,7.0,7.0,45.0,False
1489,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:46:00,10.0,36.05665112,24.87618124,7.0,7.0,46.0,False
1490,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:47:00,10.0,36.053463605000005,24.876308385,7.0,7.0,47.0,False
1491,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:48:00,10.0,36.05193573,24.87801923,7.0,7.0,48.0,False
1492,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:49:00,10.0,36.05039204,24.87957774,7.0,7.0,49.0,False
1493,Ada,Campo-Corrente,Executive,SVP/CIO,2014-01-07 07:50:00,10.0,36.04846414,24.879572885,7.0,7.0,50.0,False
